c_resid,unit,nace_r2,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
TOTAL,NR,I551,AT	82365002 	80071282 	81343969 	82326827 	85121684 	85772040 	85311355 	87266234 	90084612 	91612341 	93890819 	95267629 
TOTAL,NR,I551,BE	16541313 	15937184 	17023250 	17965749 	17874797 	18149913 	19007946 	19082399 	17183395 	18944870 	20282489 	20794744 
TOTAL,NR,I551,BG	17010733 	14053533 	15002344 	17453606 	18682232 	19914364 	19983192 	19655141 	23319531 	24071291 	24749821 	24922811 
TOTAL,NR,I551,CH	37333769 	35588893 	36207812 	35486256 	34766273 	35623883 	35933512 	35628476 	35532576 	: 	: 	: 
TOTAL,NR,I551,CY	14309660 	12807922 	13599262 	14087844 	14546723 	14022197 	13689509 	13371967 	15347243 	16775825 	17161870 	17571292 
TOTAL,NR,I551,CZ	27426840 	25340559 	26358475 	27879842 	31846123 	31896519 	31686694 	34260442 	36492739 	39590202 	40942418 	42008870 
TOTAL,NR,I551,DE	218245816 	216228179 	228302402 	240781770 	250090725 	254821434 	263158333 	272017614 	279596765 	288759266 	297554891 	306848903 
TOTAL,NR,I551,DK	10830961 	9965570 	10938665 	11878769 	12400183 	12881674 	13780467 	14402049 	15008216 	15546971 	16076435 	17067618 
TOTAL,NR,I551,EA	1256738331 	1206144741 	1250009830 	1313399078 	1311359922 	: 	1369714010 	1416418357 	1467142175 	1530897933 e	1559011350 e	1601557555 
TOTAL,NR,I551,EE	3846882 	3498961 	4028095 	4594803 	4649250 	4757244 	4805892 	4747051 	5054025 	5267045 	5328351 	5541070 
TOTAL,NR,I551,EL	64073727 	64292443 	65059095 	69138050 	63054739 	70065554 	73951641 	76772113 	79885024 	87628373 	89905217 	109206980 
TOTAL,NR,I551,ES	268429910 	250984815 	267147471 	286743027 	280659549 	286030160 	295260630 	308235728 	331168945 	340577818 	339980928 	342995595 
TOTAL,NR,I551,EU27_2007	1573189769 	1510954272 	1551964689 	1617868415 	1643401436 	1683751789 	1717501032 e	1780712940 	1855618693 	1945068546 e	1986646515 e	2045240113 e
TOTAL,NR,I551,EU27_2020	1429087297 	1363836741 	1416019293 	1487470132 	1495396257 	: 	1560279981 	1620182624 	1688835999 	1764883605 e	1803198668 e	1854829860 
TOTAL,NR,I551,EU28	1593740518 	1529561249 	1571309389 	1638335337 	1664539415 	1704845325 	1738505094 e	1802869284 	1878881539 	1969605088 e	2011985861 e	2071144906 e
TOTAL,NR,I551,FI	16106765 	15127271 	15737411 	16366512 	16666515 	16361416 	15965905 	16141102 	16628662 	17779519 	18001174 	18759853 
TOTAL,NR,I551,FR	202280491 	191741154 	195906121 	201970247 	201900781 	205100470 	201894087 	205666832 	203877048 	214274813 	219468088 	219255965 
TOTAL,NR,I551,HR	20550749 	18606977 	19344700 	20466922 	21137979 	21093536 	21004062 	22156344 	23262846 	24536542 	25339346 	25904793 
TOTAL,NR,I551,HU	16282786 	14974811 	15617365 	16189141 	17997910 	18964305 	20072124 	21218091 	22738655 	24306649 	25395654 	25807181 
TOTAL,NR,I551,IE	27847000 u	24122856 u	22537019 u	23385839 u	23860267 e	23384649 e	23782525 e	25445116 e	26264513 e	: 	: 	29530645 e
TOTAL,NR,I551,IS	1946255 	1939667 	2025045 	2280324 	2465089 	2833770 	3287161 	4108890 	5169466 	: 	: 	5791675 
TOTAL,NR,I551,IT	251678307 	246618107 	251098476 	259910852 	255610143 	254759348 	254941435 	263009954 	267675213 	275133547 	279470236 	280937897 
TOTAL,NR,I551,LI	134495 	121568 	115051 	117384 	114852 	113197 	109972 	91541 	109416 	127232 	136066 	149598 
TOTAL,NR,I551,LT	2601806 	2077528 	2363109 	2836622 	3170195 	3399515 	3543426 	3613389 	3835278 	4080752 	4440419 	4818166 
TOTAL,NR,I551,LU	1374775 	1281588 	1251804 	1377456 	1541786 	1569926 	1698773 	1738110 	1753464 	1693749 	1714113 	1654054 
TOTAL,NR,I551,LV	2854597 	2187047 	2460478 	2826411 	2842382 	2954395 	3307837 	3374068 	3547571 	3845346 	4216469 	4318094 
TOTAL,NR,I551,ME	: 	: 	: 	2968719 	2976279 	: 	: 	2856024 	3124839 	3461580 	: 	: 
TOTAL,NR,I551,MK	751451 	736032 	704508 	903222 	965575 	1036348 	1083730 	1241767 	1293102 	1537559 	1880077 	1975258 
TOTAL,NR,I551,MT	7750940 	6740299 	7416254 	7529165 	7676434 	8265375 	8532592 	8673355 	8700431 	9309675 	9802418 	9600059 
TOTAL,NR,I551,NL	32618500 	31481000 	33707500 	34575600 	34975562 	37389949 	39863690 	41617478 	44589977 	48872828 	51610598 	54402830 
TOTAL,NR,I551,NO	18199088 	17631879 	18376706 	19203237 	19803632 	19775352 	20588727 	21538542 	22483596 	: 	: 	: 
TOTAL,NR,I551,PL	25239601 	24514451 	27140757 	29182344 	30890664 	32734159 	35649237 	38804814 	44323448 	47137998 	50429973 	53717139 
TOTAL,NR,I551,PT	39227938 	36457069 	37391291 	39440315 	39681040 	42507098 	47450257 	50627129 	55258227 	59534386 	58700513 	59946819 
TOTAL,NR,I551,RO	19831404 	16514083 	15417560 	17367337 	16502576 	16537621 	17316583 	19749508 	21232963 	22241911 	23335367 	24328701 
TOTAL,NR,I551,RS	: 	: 	: 	: 	3945932 	3985666 	3857582 	4373138 	4985238 	: 	: 	: 
TOTAL,NR,I551,SE	25872607 	25958480 	27337915 	27990060 	28566091 	29432574 	31073612 	33517878 	35315426 	36554108 	37918304 	39515192 
TOTAL,NR,I551,SI	6225879 	5918377 	5853329 	6184598 	6195576 	6174738 	6239202 	6592149 	7081194 	7751074 	: 	8263114 
TOTAL,NR,I551,SK	7662308 	6335195 	6635176 	7020424 	7254352 	7680041 	7308975 	8426569 	9610588 	10117733 	10456538 	11843846 
TOTAL,NR,I551,TR	: 	: 	: 	: 	: 	122628319 	129712304 	133789181 	112190247 	: 	: 	: 
TOTAL,NR,I551,UK	164653221 	165724508 	155290096 	150865205 	169143158 	178225113 	: 	182686660 	190045540 	: 	: 	: 
TOTAL,NR,I551-I553,AT	104709683 	102833458 	103942335 	105339662 	109540720 	110687373 	110440776 	113365901 	117957253 	121126543 	125229170 	127890554 
TOTAL,NR,I551-I553,BE	29971839 	29250381 	30298026 	31379844 	31267441 	31448180 	32605681 	38380415 	36855214 	38677308 	41320284 	42512847 
TOTAL,NR,I551-I553,BG	18182923 	15277000 	16139116 	18656061 	20252038 	21617474 	21698391 	21397816 	25185996 	26054096 	26845013 	27154791 
TOTAL,NR,I551-I553,CH	: 	: 	: 	: 	: 	: 	: 	: 	50397026 	: 	: 	: 
TOTAL,NR,I551-I553,CY	14380375 	13003669 	13800788 	14284731 	14576573 	14048529 	13715342 	13374837 	15348884 	16780913 	17164182 	17573684 
TOTAL,NR,I551-I553,CZ	39283474 	36662192 	36908811 	38235088 	43278457 	43308279 	42946929 	47093906 	49696957 	53219395 	55513922 	57024767 
TOTAL,NR,I551-I553,DE	323876009 	314118544 	325439525 	339021466 	350349425 	354871005 	366527398 	378048084 	388851871 	401163218 	419556284 	436954848 
TOTAL,NR,I551-I553,DK	28027029 	26491463 	27146947 	28211086 	28040235 	28500837 	29646899 	30809340 	31896255 	32157794 	33280395 	34325625 
TOTAL,NR,I551-I553,EA	1896734695 e	1790250014 e	1897398002 e	1971452558 	1966339769 	: 	2060118179 	2137557468 	2209908934 	2319990585 e	2373413278 e	2445517436 
TOTAL,NR,I551-I553,EE	4602212 	4122526 	4700680 	5399392 	5544537 	5734033 	5809464 	5781870 	6228128 	6509299 	6630315 	6967047 
TOTAL,NR,I551-I553,EL	65624563 	85083505 e	84037675 e	87440009 e	80566672 e	89105445 	100763472 	106064266 	110020042 	119009014 	123087178 	143594467 
TOTAL,NR,I551-I553,ES	375693309 	348554453 	364863944 	389858477 	382670976 	389211987 	403963022 	422226376 	454957250 	471199729 	466940717 	469813551 
TOTAL,NR,I551-I553,EU27_2007	2379265598 e	2274376016 e	2360884988 e	2439021053 e	2523624789 	2577176820 e	2626905019 e	2880131010 	2984238068 	3145652167 e	3223393958 e	3325832072 e
TOTAL,NR,I551-I553,EU27_2020	2174320232 e	2051197630 e	2163685010 e	2247852506 e	2282244186 	: 	2385679467 	2486031982 	2585706081 	2718605125 e	2789628871 e	2874808576 
TOTAL,NR,I551-I553,EU28	2416307589 e	2311861725 e	2397856154 e	2478263920 e	2585808714 	2641595112 e	2696830277 e	2951470010 	3062062182 	3231747014 e	3312961611 e	3417010155 e
TOTAL,NR,I551-I553,FI	19465620 	18567338 	19248057 	19987871 	20317582 	20241057 	19786022 	19738123 	20343433 	21914154 	22235084 	23095660 
TOTAL,NR,I551-I553,FR	301042789 	294689672 	391222795 	401006928 	400525558 	408126035 	402315167 	410052887 	404763426 	433058728 	442760050 	446553868 
TOTAL,NR,I551-I553,HR	38532072 	37484621 	37009182 	39250790 	62183925 	64418292 	66124991 	71339000 	77824114 	86094847 	89567653 	91178083 
TOTAL,NR,I551-I553,HU	19974414 	18709746 	19030734 	19434914 	23169533 	24426148 	26053873 	27542898 	29291168 	31608719 	32830120 	33199961 
TOTAL,NR,I551-I553,IE	34873000 u	30567544 u	29282163 u	29417942 u	28884907 u	28286434 e	29166382 e	29710054 e	31105668 e	: 	: 	32580794 e
TOTAL,NR,I551-I553,IS	2673060 	2863922 	2937274 	3172441 	3719126 	4280685 	5489883 	6536277 	7808327 	: 	: 	8406451 
TOTAL,NR,I551-I553,IT	373666712 	370762377 	375542550 	386894732 	380711483 	376785615 	377770806 	392874070 	402962113 	420629155 	428844937 	436739271 
TOTAL,NR,I551-I553,LI	187306 	176340 	166835 	167120 	141042 	135303 	132272 	112484 	130816 	150624 	162161 	177586 
TOTAL,NR,I551-I553,LT	3249339 	2548114 	2792135 	3266858 	5741252 	6089056 	6465004 	6581192 	6992674 	7364924 	8091647 	8946758 
TOTAL,NR,I551-I553,LU	2432004 	2256166 	1859564 	2237724 	2543830 	2637481 	2867811 	2979464 	2955593 	2891628 	2920245 	2852274 
TOTAL,NR,I551-I553,LV	3501063 	2543111 	2834104 	3294232 	3546736 	3775192 	4158418 	4109910 	4416597 	4950929 	5368739 	5509682 
TOTAL,NR,I551-I553,ME	: 	: 	: 	3170519 	9151236 	: 	: 	11054947 	11250005 	3890370 b	: 	: 
TOTAL,NR,I551-I553,MK	1354266 	1313992 	1266095 	1435015 	1459771 	1499076 	1519013 	1640003 	1695084 	1975211 	2211589 	2294883 
TOTAL,NR,I551-I553,MT	7917563 	6903106 	7560834 	7681557 	7832229 	8501147 	8780948 	8915297 	8971191 	9580329 	10114196 	9911282 
TOTAL,NR,I551-I553,NL	84452200 	84516100 	84873200 	85368400 	84050408 	96074132 b	99751562 	103534302 	106212858 	111697814 	116081577 	123442571 
TOTAL,NR,I551-I553,NO	28567627 	28002088 	28518836 	29074313 	29914832 	29310429 	30614057 	31591222 	32974578 	: 	: 	: 
TOTAL,NR,I551-I553,PL	56645518 	55020067 	55794467 	57148253 	62014890 	62959452 	66579589 	71234421 	79393860 	83880915 	88860463 	93342738 
TOTAL,NR,I551-I553,PT	47328837 	44364742 	45035005 	46857858 	46781091 	49888259 	54979437 	59419938 	66014226 	72035786 	74407596 	77594254 
TOTAL,NR,I551-I553,RO	20725981 	17325410 	16051135 	17979439 	19091379 	19301768 	20230245 	23445286 	25274649 	26915573 	28461153 	29889894 
TOTAL,NR,I551-I553,RS	: 	: 	: 	: 	6359685 	6368597 	5954322 	6619439 	7502498 	: 	: 	: 
TOTAL,NR,I551-I553,SE	46540868 	47390976 	47900298 	48422673 	48585972 	49710427 	52280371 	55611847 	57234148 	58683201 	60856874 	63175281 
TOTAL,NR,I551-I553,SI	8870148 	8556122 	8424741 	8860328 	9406009 	9471571 	9470452 	10224207 	11057731 	12460084 	: 	15758691 
TOTAL,NR,I551-I553,SK	12259115 	10252657 	10240479 	10415637 	10770328 	11345641 	10781015 	12176275 	13894782 	14667937 	15188140 	17225333 
TOTAL,NR,I551-I553,TR	: 	: 	: 	: 	: 	122685184 	130029917 	133881306 	112545487 	: 	: 	: 
TOTAL,NR,I551-I553,UK	251505661 	262204519 	234263131 	230590553 	303564528 	: 	: 	465438028 	476356101 	: 	: 	: 
TOTAL,NR,I552,AT	17316992 	17696425 	17811173 	18044209 	19150091 b	19593528 	20022094 	20646643 	21941223 	23105878 	24388713 	25481639 
TOTAL,NR,I552,BE	10634584 	10236465 	10198572 	10336063 	10537475 b	10727791 	11021330 	16337156 	16900067 	16991695 	17813017 	18672763 
TOTAL,NR,I552,BG	1104286 	1201539 	1116401 	1152370 	1527737 b	1667694 	1683510 	1702845 	1809458 	1924465 	2031656 	2156300 
TOTAL,NR,I552,CH	: 	: 	: 	: 	: 	: 	: 	: 	12078242 	: 	: 	: 
TOTAL,NR,I552,CY	52547 	177167 	176379 	174260 	0 	0 	0 	0 	0 	0 	0 	0 
TOTAL,NR,I552,CZ	9438760 	8858611 	8460866 	8402357 	9359452 b	9199630 	9064783 	10270477 	10421513 	10656674 	11270512 	11593884 
TOTAL,NR,I552,DE	82622675 	72828530 	72727776 	73279540 	74250442 b	74049894 	75492571 	76810040 	78792745 	81352690 	87443599 	94349563 
TOTAL,NR,I552,DK	5027159 	4755871 	4759865 	5049720 	4962527 b	4815762 	4686584 	5335834 	5814131 	5899997 	6081084 	6221176 
TOTAL,NR,I552,EA	378614207 e	355941830 e	378961849 e	387320622 e	397021532 b	: 	425629750 	448646483 	465619928 	495287442 e	515210762 e	536051908 
TOTAL,NR,I552,EE	566197 	452469 	484623 	605156 	895287 b	976789 	1003572 	1034819 	1174103 	1231023 	1289685 	1410867 
TOTAL,NR,I552,EL	: 	19061235 e	17237304 e	16592135 e	16182257 e	17636256 	25373027 	27731924 	28517393 	29724695 	31517741 	32277564 
TOTAL,NR,I552,ES	76192950 	67050355 	66907279 	71445482 	70672814 b	71805482 	76392934 	79598908 	87146669 	91910107 	87801074 	86096498 
TOTAL,NR,I552,EU27_2007	460043777 e	437272226 e	458681931 e	468897222 e	537983642 b	547319266 e	559391715 e	743675583 	767399324 	818482572 e	846996834 e	879218051 e
TOTAL,NR,I552,EU27_2020	438449792 e	414916797 e	435066921 e	442351635 e	482894743 b	: 	513003561 	543984713 	569601476 	607945943 e	633911701 e	657975629 
