c_resid,unit,nace_r2,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
TOTAL,NR,I552,EU28	463172916 e	441358939 e	462529362 e	472815471 e	562787848 b	573997660 e	591794212 e	775700158 	804476976 	860959303 e	891949834 e	925317365 e
TOTAL,NR,I552,FI	1214358 	1332026 	1401315 	1439145 	1649309 b	1807547 	1846246 	1768434 	1899084 	2343271 	2380860 	2426818 
TOTAL,NR,I552,FR	: 	: 	91482707 	92258587 	92942442 b	93607604 	90677821 	91510425 	88719953 	94813008 	98284623 	98696278 
TOTAL,NR,I552,HR	4631892 	5082192 	3871364 	3942759 	24804206 b	26678394 	28602230 	32024575 	37077652 	42476731 	44953000 	46099314 
TOTAL,NR,I552,HU	2109963 	2108385 	2088202 	2004990 	3593890 b	3831230 	4340336 	4593198 	4765694 	5335595 	5432344 	5364766 
TOTAL,NR,I552,IE	4318000 u	4135125 u	3410238 u	3659145 u	3856494 e	3840276 e	4337577 e	3227203 e	3807995 e	: 	: 	1469648 e
TOTAL,NR,I552,IS	284878 	355547 	668475 	636376 	682650 b	925686 	1256424 	1568600 	1701836 	: 	: 	1713311 
TOTAL,NR,I552,IT	56765269 	56697272 	58148681 	60121422 	68755439 b	68889280 	69928936 	76238055 	80972763 	88694426 	94751641 	101202774 
TOTAL,NR,I552,LI	38112 	39607 	36396 	35072 	24606 b	20136 	20738 	19517 	19785 	20508 	22312 	23301 
TOTAL,NR,I552,LT	577409 	405381 	376455 	372650 	2513257 b	2620310 	2849331 	2892599 	3089348 	3217972 	3539468 	3990037 
TOTAL,NR,I552,LU	250142 	235370 	120417 	219303 	225487 b	211382 	234547 	242502 	232496 	258660 	254271 	254191 
TOTAL,NR,I552,LV	400650 	255015 	250737 	325754 	545655 b	617135 	608341 	609272 	729828 	965955 	993379 	1024665 
TOTAL,NR,I552,ME	: 	: 	: 	: 	6149022 b	: 	: 	8177958 	8094839 	404148 b	: 	: 
TOTAL,NR,I552,MK	457397 	450436 	451247 	432487 	399363 b	389082 	377016 	356274 	362137 	381235 	273142 	264019 
TOTAL,NR,I552,MT	: 	: 	: 	: 	155795 b	235772 	248356 	241942 	270760 	270653 	311778 	311223 
TOTAL,NR,I552,NL	33022700 	32950400 	31868200 	31975800 	31661065 b	37624700 b	38400486 	40924196 	40711456 	43027147 	43723411 	47165013 
TOTAL,NR,I552,NO	1741441 	1834448 	1874131 	1791219 	1872346 b	2768245 	2835103 	2877962 	3000013 	: 	: 	: 
TOTAL,NR,I552,PL	30711005 	29863273 	28068489 	27419224 	30253405 b	29370334 	30080054 	31439557 	34004991 	35602119 	37172581 	38345003 
TOTAL,NR,I552,PT	1240695 	1157769 	1131516 	983144 	875018 b	1769275 b	1892099 	3010502 	4143747 	5925181 	8866275 	10705797 
TOTAL,NR,I552,RO	611715 	610585 	432654 	423992 	2328409 b	2541277 	2756523 	3438043 	3806974 	4401106 	4883220 	5230553 
TOTAL,NR,I552,RS	: 	: 	: 	: 	2379476 b	2347503 	2058879 	2204846 	2475104 	: 	: 	: 
TOTAL,NR,I552,SE	6330047 	6207126 	6237737 	5983973 	5984673 b	5781003 	6159791 	6533701 	6281135 	6361814 	6876542 	6912725 
TOTAL,NR,I552,SI	1356686 	1369125 	1400802 	1402072 	1913237 b	1993008 	2012301 	2287400 	2579736 	3019960 	: 	5458509 
TOTAL,NR,I552,SK	4249253 	3588627 	3382909 	3198768 	3298881 b	3442200 	3288181 	3534463 	3990562 	4239366 	4389298 	5058061 
TOTAL,NR,I552,UK	34229426 	33248364 	27617965 	30614499 	79893105 b	: u	: 	231715445 	234875500 	: 	: 	: 
TOTAL,NR,I552_I553,AT	22344681 	22762176 	22598366 	23012835 	24419036 b	24915333 	25129421 	26099667 	27872641 	29514202 	31338351 	32622925 
TOTAL,NR,I552_I553,BE	13430526 	13313197 	13274776 	13414095 	13392644 b	13298267 	13597735 	19298016 	19671819 	19732438 	21037795 	21718103 
TOTAL,NR,I552_I553,BG	1172190 	1223467 	1136772 	1202455 	1569806 b	1703110 	1715199 	1742675 	1866465 	1982805 	2095192 	2231980 
TOTAL,NR,I552_I553,CH	: 	: 	: 	: 	: 	: 	2672542 	: 	14864450 	: 	: 	: 
TOTAL,NR,I552_I553,CY	70715 	195747 	201526 	196887 	29851 b	26332 	25832 	2871 	1641 	5088 	2312 	2392 
TOTAL,NR,I552_I553,CZ	11856634 	11321633 	10550336 	10355246 	11432334 b	11411760 	11260235 	12833464 	13204218 	13629193 	14571504 	15015897 
TOTAL,NR,I552_I553,DE	105630193 	97890365 	97137123 	98239696 	100258700 b	100049571 	103369065 	106030470 	109255106 	112403952 	122001393 	130105945 
TOTAL,NR,I552_I553,DK	17196068 	16525893 	16208282 	16338737 	15640052 b	15619163 	15866432 	16407291 	16888039 	16610823 	17203960 	17258007 
TOTAL,NR,I552_I553,EA	639996364 e	626509479 e	648179558 e	660606804 e	654979848 b	: 	690404169 	721139110 	742766758 	789092649 e	814401927 e	843959885 
TOTAL,NR,I552_I553,EE	755330 	623565 	672585 	804589 	895287 b	976789 	1003572 	1034819 	1174103 	1242254 	1301964 	1425977 
TOTAL,NR,I552_I553,EL	1550836 	20070303 	18684725 	18413126 	17511933 e	19039891 	26811831 	29292153 	30135018 	31380641 	33181961 	34387487 
TOTAL,NR,I552_I553,ES	107263399 	97569638 	97716473 	103115450 	102011427 b	103181826 	108702393 	113990647 	123788305 	130621911 	126959788 	126817958 
TOTAL,NR,I552_I553,EU27_2007	806075829 e	803351013 e	809564252 e	821152638 e	880223354 b	893425028 e	909403986 e	1099418069 	1128619373 	1200583617 e	1236747441 e	1280591962 e
TOTAL,NR,I552_I553,EU27_2020	745232935 e	731557949 e	748420208 e	760382374 e	786847930 b	: 	825399486 	865849357 	896870081 	953721517 e	986430202 e	1019978720 
TOTAL,NR,I552_I553,EU28	822567071 e	821245619 e	827218405 e	839928583 e	921269300 b	936749784 e	958325182 e	1148600725 	1183180641 	1262141922 e	1300975748 e	1345865252 e
TOTAL,NR,I552_I553,FI	3358855 	3440067 	3510646 	3621359 	3651067 b	3879641 	3820117 	3597021 	3714771 	4134635 	4233910 	4335807 
TOTAL,NR,I552_I553,FR	98762298 	102948518 	195316674 	199036681 	198624777 b	203025566 	200421079 	204386055 	200886378 	218783915 	223291963 	227297904 
TOTAL,NR,I552_I553,HR	17981323 	18877644 	17664482 	18783868 	41045946 b	43324756 	45120929 	49182656 	54561268 	61558305 	64228307 	65273290 
TOTAL,NR,I552_I553,HU	3691628 	3734935 	3413369 	3245773 	5171623 b	5461843 	5981749 	6324807 	6552513 	7302070 	7434466 	7392780 
TOTAL,NR,I552_I553,IE	7026000 u	6444688 u	6745144 u	6032103 u	5024640 u	: u	5383858 e	4264938 e	4841155 e	: 	: 	3050149 e
TOTAL,NR,I552_I553,IS	726805 	924255 	912229 	892117 	1254037 b	1446915 	2202722 	2427387 	2638861 	: 	: 	2614776 
TOTAL,NR,I552_I553,IT	121988405 	124144270 	124444074 	126983880 	125101340 b	122026267 	122829371 	129864116 	135286900 	145495608 	149374701 	155801374 
TOTAL,NR,I552_I553,LI	52811 	54772 	51784 	49736 	26190 b	22106 	22300 	20943 	21400 	23392 	26095 	27988 
TOTAL,NR,I552_I553,LT	647533 	470586 	429026 	430236 	2571057 b	2689541 	2921578 	2967803 	3157396 	3284172 	3651228 	4128592 
TOTAL,NR,I552_I553,LU	1057229 	974578 	607760 	860268 	1002044 b	1067555 	1169038 	1241354 	1202129 	1197879 	1206132 	1198220 
TOTAL,NR,I552_I553,LV	646466 	356064 	373626 	467821 	704354 b	820797 	850581 	735842 	869026 	1105583 	1152270 	1191588 
TOTAL,NR,I552_I553,ME	: 	: 	: 	201800 	6174957 b	: 	: 	8198923 	8125166 	428790 b	: 	: 
TOTAL,NR,I552_I553,MK	602815 	577960 	561587 	531793 	494196 b	462728 	435283 	398236 	401982 	437652 	331512 	319625 
TOTAL,NR,I552_I553,MT	166623 	162807 	144580 	152392 	155795 b	235772 	248356 	241942 	270760 	270653 	311778 	311223 
TOTAL,NR,I552_I553,NL	51833700 	53035100 	51165700 	50792800 	49074847 b	58684183 b	59887872 	61916823 	61622880 	62824984 	64470979 	69039742 
TOTAL,NR,I552_I553,NO	10368539 	10370209 	10142130 	9871076 	10111200 b	9535077 	10025330 	10052680 	10490982 	: 	: 	: 
TOTAL,NR,I552_I553,PL	31405917 	30505616 	28653710 	27965909 	31124226 b	30225293 	30930352 	32429607 	35070412 	36742917 	38430490 	39625599 
TOTAL,NR,I552_I553,PT	8100899 	7907673 	7643714 	7417543 	7100051 b	7381161 b	7529180 	8792809 	10755999 	12501400 	15707083 	17647435 
TOTAL,NR,I552_I553,RO	894577 	811327 	633575 	612102 	2588803 b	2764147 	2913662 	3695778 	4041686 	4673662 	5125786 	5561193 
TOTAL,NR,I552_I553,RS	: 	: 	: 	: 	2413753 b	2382931 	2096740 	2246301 	2517260 	: 	: 	: 
TOTAL,NR,I552_I553,SE	20668261 	21432496 	20562383 	20432613 	20019881 b	20277853 	21206759 	22093969 	21918722 	22129093 	22938570 	23660089 
TOTAL,NR,I552_I553,SI	2644269 	2637745 	2571412 	2675730 	3210433 b	3296833 	3231250 	3632058 	3976537 	4709010 	: 	7495577 
TOTAL,NR,I552_I553,SK	4596807 	3917462 	3605303 	3395213 	3515976 b	3665600 	3472040 	3749706 	4284194 	4550204 	4731602 	5381487 
TOTAL,NR,I552_I553,UK	86852440 	96480011 	78973035 	79725348 	134421370 b	: u	: 	282751368 	286310560 	: 	: 	: 
TOTAL,NR,I553,AT	5027689 	5065751 	4787193 	4968626 	5268945 b	5321805 	5107327 	5453024 	5931418 	6408324 	6949638 	7141286 
TOTAL,NR,I553,BE	2795942 	3076732 	3076204 	3078032 	2855169 b	2570476 	2576405 	2960860 	2771752 	2740743 	3224778 	3045340 
TOTAL,NR,I553,BG	67904 	21928 	20371 	50085 	42069 b	35416 	31689 	39830 	57007 	58340 	63536 	75680 
TOTAL,NR,I553,CH	: 	3653874 	3280546 	3056585 	2964456 b	2864076 	2672542 	2657280 	2786208 	: 	: 	: 
TOTAL,NR,I553,CY	18168 	18580 	25147 	22627 	29851 b	26332 	25832 	2871 	1641 	5088 	2312 	2392 
TOTAL,NR,I553,CZ	2417874 	2463022 	2089470 	1952889 	2072882 b	2212130 	2195452 	2562987 	2782705 	2972519 	3300992 	3422013 
TOTAL,NR,I553,DE	23007518 	25061835 	24409347 	24960156 	26008258 b	25999677 	27876494 	29220430 	30462361 	31051262 	34557794 	35756382 
TOTAL,NR,I553,DK	12168909 	11770022 	11448417 	11289017 	10677525 b	10803401 	11179848 	11071457 	11073908 	10710826 	11122876 	11036831 
TOTAL,NR,I553,EA	261382157 e	270567649 e	269217709 e	273286183 e	257958316 b	: 	264774419 	272492627 	277146830 	293805207 e	299191166 e	307907977 
TOTAL,NR,I553,EE	189133 	171096 	187962 	199433 	0 	0 	0 	0 	0 	11231 	12279 	15110 
TOTAL,NR,I553,EL	1550836 	1729827 e	1741276 e	1709824 e	1329676 b	1403635 	1438804 	1560229 	1617625 	1655946 	1664220 	2109923 
TOTAL,NR,I553,ES	31070449 	30519284 	30809194 	31669966 	31338613 b	31376344 	32309459 	34391739 	36641636 	38711804 	39158714 	40721460 
TOTAL,NR,I553,EU27_2007	346032052 e	366078787 e	350882321 e	352255416 e	342239712 b	346105765 	350012271 e	355742486 	361220049 	382101044 e	389750608 e	401373911 e
TOTAL,NR,I553,EU27_2020	306783143 e	316641152 e	313353287 e	318030739 e	303953187 b	: 	312395925 	321864644 	327268605 	345775574 e	352518502 e	362003091 
TOTAL,NR,I553,EU28	359394155 e	379886680 e	364689044 e	367113112 e	358481452 b	362752127 	366530970 e	372900567 	378703665 	401182618 e	409025915 e	420547887 e
TOTAL,NR,I553,FI	2144497 	2108041 	2109331 	2182214 	2001758 b	2072094 	1973871 	1828587 	1815687 	1791364 	1853050 	1908989 
TOTAL,NR,I553,FR	98762298 	102948518 	103833966 	106778094 	105682335 b	109417961 	109743258 	112875630 	112166425 	123970907 	125007340 	128601626 
TOTAL,NR,I553,HR	13349431 	13795452 	13793118 	14841109 	16241740 b	16646362 	16518699 	17158081 	17483616 	19081574 	19275307 	19173976 
TOTAL,NR,I553,HU	1581665 	1626550 	1325167 	1240783 	1577733 b	1630613 	1641413 	1731609 	1786819 	1966475 	2002122 	2028014 
TOTAL,NR,I553,IE	2708000 u	2309563 u	3334905 u	2372958 u	1168147 u	: u	1046281 e	1037735 e	1033160 e	: 	: 	1580501 e
TOTAL,NR,I553,IS	441927 	568708 	243754 	255741 	571387 b	521229 	946298 	858787 	937025 	: 	: 	901465 
TOTAL,NR,I553,IT	65223136 	67446998 	66295393 	66862458 	56345901 b	53136987 	52900435 	53626061 	54314137 	56801182 	54623060 	54598600 
TOTAL,NR,I553,LI	14699 	15165 	15388 	14664 	1584 b	1970 	1562 	1426 	1615 	2884 	3783 	4687 
TOTAL,NR,I553,LT	70124 	65205 	52571 	57586 	57800 b	69231 	72247 	75204 	68048 	66200 	111760 	138555 
TOTAL,NR,I553,LU	807087 	739208 	487343 	640965 	776557 b	856173 	934491 	998852 	969633 	939219 	951861 	944029 
TOTAL,NR,I553,LV	245816 	101049 	122889 	142067 	158699 b	203662 	242240 	126570 	139198 	139628 	158891 	166923 
TOTAL,NR,I553,ME	: 	: 	: 	: 	25935 b	: 	: 	20965 	30327 	24642 	: 	: 
TOTAL,NR,I553,MK	145418 	127524 	110340 	99306 	94833 b	73646 	58267 	41962 	39845 	56417 	58370 	55606 
TOTAL,NR,I553,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
TOTAL,NR,I553,NL	18810900 	20084600 	19297400 	18817000 	17413782 b	21059483 b	21487386 	20992627 	20911424 	19797837 	20747568 	21874729 
TOTAL,NR,I553,NO	8627098 	8535761 	8267999 	8079857 	8238854 b	6766832 	7190227 	7174718 	7490969 	: 	: 	: 
TOTAL,NR,I553,PL	694912 	642343 	585221 	546685 	870821 b	854959 	850298 	990050 	1065421 	1140798 	1257909 	1280596 
TOTAL,NR,I553,PT	6746876 	6749904 	6512198 	6434399 	6225033 b	5611886 	5637081 	5782307 	6612252 	6576219 	6840808 	6941638 
TOTAL,NR,I553,RO	282862 	200742 	200921 	188110 	260394 b	222870 	157139 	257735 	234712 	272556 	242566 	330640 
TOTAL,NR,I553,RS	: 	: 	: 	: 	34277 b	35428 	37861 	41455 	42156 	: 	: 	: 
TOTAL,NR,I553,SE	14338214 	15225370 	14324646 	14448640 	14035208 b	14496850 	15046968 	15560268 	15637587 	15767279 	16062028 	16747364 
TOTAL,NR,I553,SI	1287583 	1268620 	1170610 	1273658 	1297196 b	1303825 	1218949 	1344658 	1396801 	1689050 	: 	2037068 
TOTAL,NR,I553,SK	347554 	328835 	222394 	196445 	217095 b	223400 	183859 	215243 	293632 	310838 	342304 	323426 
TOTAL,NR,I553,TR	: 	: 	: 	: 	: 	56865 	317613 	92125 	355240 	: 	: 	: 
TOTAL,NR,I553,UK	52623014 	63231642 	51355072 	49110847 	54528265 b	54135045 	: 	51035923 	51435060 	: 	: 	: 
